objectid,filename,format,title,description,source,identifier,language,date,subject,rights,rightsstatement
fungi001,fungi001.jpg,image/jpeg,Morchella esculantoides,"The common name of this mushroom is the common morel, or true morel. This is a relief print image created using a woodblock.","Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi002,fungi002.jpg,image/jpeg,Auricularia,"The common name of this genus of mushroom is wood ear, or jelly ear. This is a relief print image created using a woodblock.","Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi003,fungi003.jpg,image/jpeg,Lenzites betulinus,The common name of this mushroom is gilled polypore. This is a relief print image created using a woodblock.,"Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi004,fungi004.jpg,image/jpeg,Amanita muscaria,"The common name of this mushroom is fly agaric, or fly amanita. This is a relief print image created using a woodblock.","Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi005,fungi005.jpg,image/jpeg,Clathrus ruber,"The common names for this mushroom are lattice stinkhorn, basket stinkhorn, and witch's heart. This is a relief print image created using a woodblock.","Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi006,fungi006.jpg,image/jpeg,Gymnopus erythropus,The common name of this mushroom is redleg toughshank. This is a relief print image created using a woodblock.,"Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi007,fungi007.jpg,image/jpeg,Clavulina cristata,"The common name of this mushroom is the wrinkled coral fungus, white coral fungus, or the crested coral fungus. This is a relief print image created using a woodblock.","Lilly Library, The herball, or, Generall historie of plantes / gathered by John Gerarde of London, master in chirurgerie, by John Norton, 1597.",QK41 .G29,eng,1597,Botany; Early works to 1800; Medical; Herbals; Gardens; Plants; Woodcuts; Relief printing; Fungi; Mushrooms,,This item is open for research.
fungi008,fungi008.jpg,image/jpeg,Hygrocybe ceracea,The common name of this mushroom is butterwax cap. This is a watercolor painting by Ellen Arabella Whinfield.,"Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi009,fungi009.jpg,image/jpeg,Omphalotus olearius,The common name of this mushroom is the jack-o'-lantern mushroom. This is a watercolor painting by Ellen Arabella Whinfield.,"Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi010,fungi010.jpg,image/jpeg,Clavaria frigilis,"The common name of this mushroom is fairy fingers, white worm coral, or white spindles. This is a watercolor painting by Ellen Arabella Whinfield.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi011,fungi011.jpg,image/jpeg,Laccaria Laccata,"The common name of this mushroom is the deceiver, or waxy laccaria.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi012,fungi012.jpg,image/jpeg,Arcyria denudata,"The common name of this mushroom is carnival candy slime mold, or pink carnival candy slime. This is a watercolor painting by Ellen Arabella Whinfield.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
fungi013,fungi013.jpg,image/jpeg,Tricholoma terreum,"The common name of this mushroom is the grey knight, or dirty tricholoma.","Lilly Library, Botanical watercolours by Ellen Arabella Whinfield, 1835-1884.",QK98 .E54,eng,1840,Plants; Mushrooms; Fungi; Women artists; Botanical artist; Botanical illustration; 19th century; Watercolor painting; Watercolor,,This item is open for research.
